NAME	dep	departement	num	none	demographie_naissance_1990	demographie_naissance_1991	demographie_naissance_1992	demographie_naissance_1993	demographie_naissance_1994	demographie_naissance_1995	demographie_naissance_1996	demographie_naissance_1997	demographie_naissance_1998	demographie_naissance_1999	demographie_naissance_2000	demographie_naissance_2001	demographie_naissance_2002	demographie_naissance_2003	demographie_naissance_2004	demographie_naissance_2005	demographie_naissance_2006	demographie_naissance_2007	demographie_naissance_2008	demographie_naissance_2009	demographie_naissance_2010	bises_1	bises_2	bises_3	bises_4	bises_5
Haute-Marne	24	CENTRE	41	1	305869	307217	308482	309798	310472	311590	312590	313660	314616	314995	316354	317783	319144	320536	321808	323489	325182	326291	326599	327868	328643	17	184	23	217	19
Mayenne	82	RHONE-ALPES	42	1	746101	744872	744283	744067	742659	740191	738670	735287	731657	729081	730614	732528	734267	735780	737297	739393	741269	740668	742076	746115	747215	16	818	36	25	12
Meurthe-Et-Moselle	52	PAYS-DE-LA-LOIRE	44	1	1050539	1058966	1068983	1079601	1087854	1096033	1105020	1114088	1124006	1133247	1146058	1160239	1174492	1189157	1203474	1218810	1234085	1246798	1255871	1266358	1277320	45	1267	103	1394	59
Meuse	24	CENTRE	45	1	580010	585588	591029	595926	600195	604569	608331	612369	616372	617935	621230	625235	629070	633019	636707	641169	645325	647733	650769	653510	656141	12	470	36	468	34
Morbihan	73	MIDI-PYRENEES	46	1	155970	156262	156980	157211	157694	157977	158363	159074	159657	160230	161375	162680	164076	165493	166873	168271	169531	171173	172796	173562	174475	6	203	153	33	9
Moselle	72	AQUITAINE	47	1	305797	305470	304994	304579	304044	304310	304064	304591	304968	305482	307415	309679	311984	314421	316872	319719	322292	324170	326399	329697	331741	4	283	17	15	14
Nièvre	91	LANGUEDOC-ROUSSILLON	48	1	72863	72650	72390	72763	72932	72884	73033	73219	73507	73513	73851	74348	74857	75314	75784	76298	76800	76880	76973	77163	77381	11	18	191	15	7
Nord	52	PAYS-DE-LA-LOIRE	49	1	704668	707020	710269	713817	717037	720569	724324	727143	729551	732624	736867	742072	747089	751708	756253	761529	766659	770777	774823	780082	784225	37	422	72	846	35
Oise	25	BASSE-NORMANDIE	50	1	479579	479820	479408	479877	479779	480310	480267	480858	481349	481466	483178	484848	486544	488260	489608	491110	492563	495153	496937	497762	498628	27	321	69	320	25
Orne	21	CHAMPAGNE-ARDENNE	51	1	557636	559006	560409	562053	563357	564908	565544	565798	565935	565366	565189	565535	565782	565830	565512	565675	565841	566491	566010	566145	565739	13	336	21	428	18
Pas-De-Calais	52	PAYS-DE-LA-LOIRE	53	1	277748	278255	278701	279725	280569	281443	282376	283126	283893	285218	286970	289124	291126	293122	294813	296884	299000	300643	302983	305147	306850	16	180	29	264	14
Puy-De-Dôme	41	LORRAINE	54	1	711367	711758	713614	715492	716518	717273	717201	716448	715062	714295	715684	717358	719199	720638	721734	723797	725302	726592	729768	731019	732195	13	916	20	40	38
Pyrénées-Atlantiques	41	LORRAINE	55	1	196282	196043	195676	195709	195478	194887	194622	194338	192797	192443	192682	193019	193312	193321	193376	193637	193696	193962	194218	194003	193955	7	158	5	165	11
Hautes-Pyrénées	53	BRETAGNE	56	1	619723	621740	623457	626160	627128	629518	632042	635229	639772	643293	649831	656858	664294	671846	679372	687480	694821	702487	710034	716182	722066	101	856	71	362	31
Pyrénées-Orientales	41	LORRAINE	57	1	1010514	1011848	1013534	1015854	1017589	1019421	1020258	1022509	1022916	1023763	1025516	1027458	1029636	1031421	1032634	1034768	1036776	1039023	1042230	1044898	1046230	20	989	32	101	45
Bas-Rhin	26	BOURGOGNE	58	1	233450	232671	231731	230756	230146	229577	228568	227623	226776	225485	225054	224569	224139	223605	223050	222711	222220	221488	220653	220199	219260	12	148	17	147	12
Haut-Rhin	31	NORD-PAS-DE-CALAIS	59	1	2529495	2531624	2536843	2541429	2544978	2548948	2552731	2553508	2554942	2555471	2554638	2555959	2558213	2559871	2561038	2563886	2565257	2564950	2564959	2571940	2572374	94	1905	113	711	106
Rhône	22	PICARDIE	60	1	724587	732276	739642	746457	751362	755673	760914	763991	765111	766253	769848	773713	777612	781462	785007	789012	792975	796624	799725	801512	804115	12	406	20	403	40
Haute-Saône	25	BASSE-NORMANDIE	61	1	293194	293161	293314	294086	294376	294268	293516	293414	292912	292530	292557	292868	293068	293158	293052	293105	292879	292609	292282	292210	291782	16	168	40	204	14
Saône-et-Loire	31	NORD-PAS-DE-CALAIS	62	1	1432208	1433769	1434353	1436353	1436805	1437398	1438800	1441027	1440495	1441996	1443226	1445183	1447364	1448757	1449510	1451727	1453387	1456726	1459531	1461257	1462895	37	595	45	500	63
Sarthe	83	AUVERGNE	63	1	598311	598368	598348	599325	599492	600033	600840	601736	602853	604239	606467	609162	612018	614688	617448	620571	623463	626639	628485	629416	631077	4	670	103	117	32
Savoie	72	AQUITAINE	64	1	578076	580655	583349	585466	586794	588226	589059	591529	594245	599547	604249	609605	614850	620208	625669	631335	636849	643090	647420	650356	654517	20	774	27	32	42
Haute-Savoie	91	LANGUEDOC-ROUSSILLON	66	1	363764	367625	369657	372716	374854	377296	381189	385113	389051	392383	397082	402045	407931	413956	419820	426008	432112	437157	441387	445890	450239	10	489	26	15	23
Ville de Paris	82	RHONE-ALPES	69	1	1507113	1517429	1530190	1540976	1546144	1551482	1556437	1561309	1566215	1577095	1588910	1601972	1615116	1628151	1640876	1655211	1669655	1677073	1690498	1708671	1721999	28	2707	73	33	62
Seine-Maritime	26	BOURGOGNE	71	1	559360	558411	557729	556591	555171	553381	551555	549365	547472	545443	545723	546312	547138	547532	547660	548667	549361	551842	553968	554720	555716	19	465	15	17	11
Seine-Et-Marne	52	PAYS-DE-LA-LOIRE	72	1	513280	514610	516652	518667	520465	522462	523975	526451	527687	529782	532765	536156	539720	543037	546270	550067	553484	556946	559587	561050	563550	29	268	47	447	40
Yvelines	82	RHONE-ALPES	73	1	348089	351656	355281	358484	360303	362340	363987	366909	369897	372752	376516	380731	385099	389544	393868	398546	403090	405535	408842	411007	413749	8	508	44	7	23
Deux-Sèvres	11	ILE-DE-FRANCE	77	1	1077206	1095235	1115222	1131179	1146990	1159421	1169827	1176289	1182543	1191775	1202569	1214294	1225780	1237515	1248865	1261010	1273488	1289524	1303702	1313414	1326031	20	652	38	643	44
Somme	23	HAUTE-NORMANDIE	76	1	1222504	1227019	1230968	1234321	1236774	1239357	1239937	1239146	1239784	1239584	1239940	1240904	1241888	1242102	1242398	1243361	1243834	1244611	1248580	1250120	1250264	18	1035	30	102	36
Tarn	11	ILE-DE-FRANCE	93	1	1378576	1380953	1384908	1387427	1389787	1389976	1389668	1388804	1386023	1383319	1396942	1411789	1427204	1442929	1458081	1474920	1491970	1502340	1506466	1515983	1527401	40	618	35	606	71
Tarn-Et-Garonne	22	PICARDIE	80	1	547485	548127	548885	550247	551159	552153	553038	553670	554595	555547	556830	558420	559920	560966	561938	563218	564319	565910	568086	569775	570650	10	299	11	172	18
Var	73	MIDI-PYRENEES	81	1	342946	342545	342264	342402	342309	341873	341940	342116	342629	343444	345859	348900	352122	355243	358395	361932	365335	369189	371738	374018	376492	5	554	63	14	15
Vaucluse	73	MIDI-PYRENEES	82	1	200295	201613	202930	203245	203854	204268	204642	205208	205519	206029	208421	211134	214215	217292	220316	223732	226849	231763	235915	239291	242831	7	258	19	11	9
Vendée	43	FRANCHE-COMTE	90	1	133978	134439	134892	135510	136140	136592	136975	137155	137234	137397	137898	138513	139034	139550	140157	140672	141201	142444	141958	142461	142789	3	193	7	4	24
Vienne	11	ILE-DE-FRANCE	95	1	1047553	1057350	1067699	1076500	1082848	1090916	1097809	1100050	1100782	1104533	1111072	1118301	1125740	1133014	1140328	1148764	1157052	1160721	1165397	1168892	1173708	25	628	27	590	66
Haute-Vienne	11	ILE-DE-FRANCE	94	1	1213446	1215154	1218450	1221158	1222214	1221918	1221145	1222429	1225473	1227030	1236443	1246724	1256515	1266690	1276157	1287350	1298340	1302889	1310876	1318537	1326676	15	960	32	391	45
Vosges	93	PROVENCE-ALPES-COTE-D'AZUR	83	1	815714	825813	837166	846896	856303	864290	871505	882587	891598	897585	908895	921032	933602	946272	958745	972379	985099	995934	1001408	1007303	1014826	15	818	54	45	26
Yonne	93	PROVENCE-ALPES-COTE-D'AZUR	84	1	466910	472251	475239	478843	482383	486196	489330	492980	496948	499321	503783	508497	513276	518320	523398	529035	534291	538141	538902	540065	542953	14	110	1073	27	24
Territoire de Belfort	52	PAYS-DE-LA-LOIRE	85	1	508962	512749	515620	518974	522513	525250	528344	531497	535322	539089	546334	554088	562222	570651	578974	588101	597185	607430	616906	626411	634741	36	313	49	737	47
Essonne	54	POITOU-CHARENTES	86	1	379963	381861	384083	386099	388170	391878	393845	395846	397941	399002	401443	403958	406832	409731	412316	415437	418460	421891	424354	426066	428305	202	399	187	57	30
Hauts-De-Seine	11	ILE-DE-FRANCE	75	1	2150147	2145912	2139928	2132475	2129856	2120545	2116512	2110869	2111315	2123686	2129731	2137442	2145472	2154521	2161932	2172186	2181371	2193030	2211297	2234105	2246995	334	7417	395	1022	347
Seine-Saint-Denis	41	LORRAINE	88	1	386128	385065	384768	384459	384282	383907	383701	382949	381791	381154	381027	380956	380879	380639	380392	380266	379975	380304	380145	380192	379944	11	383	15	17	11
Val-De-Marne	26	BOURGOGNE	89	1	323118	324623	326242	327739	328907	329784	330730	331697	332773	333206	334026	335056	335963	337029	337724	338983	340088	341418	342359	343377	344173	6	106	15	272	14
Val-D'Oise	11	ILE-DE-FRANCE	78	1	1305076	1314925	1326185	1333814	1340268	1345471	1350539	1353180	1353723	1353945	1358816	1365015	1371107	1377260	1383145	1389456	1395804	1403957	1406053	1407560	1410943	30	1249	32	447	50
